question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
"With reference to the Indian polity, consider the following statements: I. An Ordinance can amend any Central Act. II. An Ordinance can abridge a Fundamental Right. III. An Ordinance can come into effect from a back date. Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III","C","An Ordinance can amend an existing Central law and can be given retrospective effect. It cannot validly abridge a Fundamental Right in a way Parliament itself could not.","UPSC","Polity","Executive","Hard","PYQ","2025","ordinance|president|polity|executive|constitution"
"With reference to India, consider the following: I. The Inter-State Council II. The National Security Council III. Zonal Councils How many of the above are established as per the provisions of the Constitution of India?","Only one","Only two","All the three","None","A","Only the Inter-State Council is provided for in the Constitution under Article 263.","UPSC","Polity","Constitution","Hard","PYQ","2025","inter-state council|constitution|polity|federalism|india"
"Consider the following statements: I. The Constitution of India explicitly mentions that in certain spheres the Governor of a State acts in his/her own discretion. II. The President of India can, of his/her own, reserve a bill passed by a State Legislature for his/her consideration without it being forwarded by the Governor of the State concerned. Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II","A","Statement I is correct. Statement II is incorrect because reservation of a State bill for the President's consideration comes through the Governor.","UPSC","Polity","Executive","Hard","PYQ","2025","governor|president|state bill|polity|executive"
"Consider the following pairs: Provision in the Constitution of India : Stated under I. Separation of Judiciary from the Executive in the public services of the State : The Directive Principles of State Policy II. Valuing and preserving the rich heritage of our composite culture : The Fundamental Duties III. Prohibition of employment of children below the age of 14 years in factories : The Fundamental Rights How many of the above pairs are correctly matched?","Only one","Only two","All the three","None","C","All three pairs are correctly matched through Article 50, Article 51A(f), and the Fundamental Rights framework on child labour.","UPSC","Polity","Constitution","Hard","PYQ","2025","constitution|directive principles|fundamental duties|polity|rights"
"Consider the following subjects under the Constitution of India: I. List I - Union List in the Seventh Schedule II. Extent of the executive power of a State III. Conditions of the Governor's office For a constitutional amendment with respect to which of the above, ratification by the Legislatures of not less than one-half of the States is required before presenting the bill to the President of India for assent?","I and II only","II and III only","I and III only","I, II and III","A","Amendments affecting the federal structure, including the Union List and extent of executive powers of States, require ratification by at least half the States. Conditions of the Governor's office do not.","UPSC","Polity","Executive","Hard","PYQ","2025","constitutional amendment|state ratification|polity|executive|federalism"
"Consider the following activities: I. Production of crude oil II. Refining, storage and distribution of petroleum III. Marketing and sale of petroleum products IV. Production of natural gas How many of the above activities are regulated by the Petroleum and Natural Gas Regulatory Board in our country?","Only one","Only two","Only three","All the four","B","PNGRB regulates the downstream petroleum and natural gas sector, not upstream production of crude oil and natural gas.","UPSC","General Studies","General","Hard","PYQ","2025","pngrb|petroleum|natural gas|general|regulation"
"Sedition has become my religion was the famous statement given by Gandhiji at the time of","the Champaran Satyagraha","publicly violating Salt Law at Dandi","attending the Second Round Table Conference in London","the launch of the Quit India Movement","B","The statement is associated with Gandhi's Civil Disobedience phase around the Salt Satyagraha and public defiance of the Salt Law.","UPSC","General Studies","General","Easy","PYQ","2025","gandhi|sedition|dandi|general|freedom struggle"
"The famous female figurine known as Dancing Girl, found at Mohenjo-daro, is made of","carnelian","clay","bronze","gold","C","The Dancing Girl of Mohenjo-daro is a celebrated bronze figurine from the Indus Valley Civilization.","UPSC","General Studies","General","Easy","PYQ","2025","dancing girl|mohenjo-daro|bronze|general|indus valley"
"Who provided legal defence to the people arrested in the aftermath of Chauri Chaura incident?","C. R. Das","Madan Mohan Malaviya and Krishna Kant","Dr. Saifuddin Kitchlew and Khwaja Hasan Nizami","M. A. Jinnah","B","Madan Mohan Malaviya is especially associated with providing legal defence in the aftermath of the Chauri Chaura incident.","UPSC","Science","General Science","Easy","PYQ","2025","chauri chaura|madan mohan malaviya|general science|history crossover|legal defence"
"Consider the following fruits: I. Papaya II. Pineapple III. Guava How many of the above were introduced in India by the Portuguese in the sixteenth and seventeenth centuries?","Only one","Only two","All the three","None","C","Papaya, pineapple, and guava were all introduced into India by the Portuguese from the New World.","UPSC","Science","Science and Technology","Easy","PYQ","2025","portuguese|papaya|pineapple|guava|science"
"Consider the following countries: I. United Kingdom II. Denmark III. New Zealand IV. Australia V. Brazil How many of the above countries have more than four time zones?","All the five","Only four","Only three","Only two","B","On the usual counting including external territories, four of the listed countries are counted as having more than four time zones.","UPSC","General Studies","General","Easy","PYQ","2025","time zones|countries|general|world geography|mapping"
"Consider the following statements: I. Anadyr in Siberia and Nome in Alaska are a few kilometers from each other, but when people are waking up and getting set for breakfast in these cities, it would be different days. II. When it is Monday in Anadyr, it is Tuesday in Nome. Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II","A","Places near the International Date Line can be geographically close but on different calendar days. Statement II is incorrect because Nome is behind Anadyr in date, not ahead.","UPSC","General Studies","General","Hard","PYQ","2025","international date line|anadyr|nome|general|time zones"
"Who among the following was the founder of the Self-Respect Movement?","Periyar E. V. Ramaswamy Naicker","Dr. B. R. Ambedkar","Bhaskarrao Jadhav","Dinkarrao Javalkar","A","The Self-Respect Movement was founded by Periyar E. V. Ramaswamy Naicker.","UPSC","General Studies","General","Easy","PYQ","2025","self-respect movement|periyar|general|social reform|history"
"Consider the following pairs: Country : Resource-rich in I. Botswana : Diamond II. Chile : Lithium III. Indonesia : Nickel In how many of the above rows is the given information correctly matched?","Only one","Only two","All the three","None","C","All three are correctly matched: Botswana with diamonds, Chile with lithium, and Indonesia with nickel.","UPSC","General Studies","General","Easy","PYQ","2025","resources|botswana|chile|indonesia|general"
"Consider the following pairs: Region : Country I. Mallorca : Italy II. Normandy : Spain III. Sardinia : France In how many of the above rows is the given information correctly matched?","Only one","Only two","All the three","None","D","None of the pairs is correctly matched. Mallorca is in Spain, Normandy is in France, and Sardinia is in Italy.","UPSC","General Studies","General","Easy","PYQ","2025","regions|countries|europe|general|mapping"
