question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
"Consider the following statements. Other things remaining unchanged market demand for a good might increase if: 1. Price of its substitute increase 2. Price of its complement increase 3. The good is an inferior good and income of the consumers increases 4. Its price falls","1 and 4 only","2 and 3 and 4 only","1 and 3 and 4 only","1 and 2 and 3 only","A","If substitute price rises consumers prefer the original good (demand rises). If complement price rises demand falls. Inferior good demand falls as income rises. Price fall increases own demand. So only 1 and 4 are correct.","UPSC","Economy","Microeconomics - Demand and Supply","Medium","PYQ","2021","demand,substitute goods,complement goods,inferior goods,microeconomics"
"With reference to Urban Cooperative Banks in India consider the following statements: 1. They are supervised and regulated by local boards set up by the State Governments. 2. They can issue equity shares and preference shares. 3. They were brought under the purview of the Banking Regulation Act 1949 through an Amendment in 1966.","1 only","2 and 3 only","1 and 3 only","1 and 2 and 3","B","Urban Cooperative Banks were brought under RBI regulation via a 2020 amendment not State Government boards. They can issue equity and preference shares. They were brought under the Banking Regulation Act in 1966.","UPSC","Economy","Banking and Financial Sector","Medium","PYQ","2021","Urban Cooperative Banks,RBI regulation,Banking Regulation Act,equity shares"
"Indian Government Bond Yields are influenced by which of the following? 1. Actions of the United States Federal Reserve 2. Actions of the Reserve Bank of India 3. Inflation and short-term interest rates","1 and 2 only","2 only","3 only","1 and 2 and 3","D","All three factors influence government bond yields. US Fed actions affect capital flows; RBI policy decisions impact interest rates; and inflation and short-term rates directly affect bond pricing.","UPSC","Economy","Financial Markets - Securities and Banking","Medium","PYQ","2021","bond yield,RBI,US Federal Reserve,inflation,interest rates"
"Consider the following: 1. Foreign currency convertible bonds 2. Foreign institutional investment with certain conditions 3. Global depository receipts 4. Non-resident external deposits. Which of the above can be included in Foreign Direct Investments?","1 and 2 and 3 only","3 only","2 and 4 only","1 and 4 only","A","FCCBs, FII with conditions, and GDRs can be classified under FDI. Non-resident external deposits are debt-creating flows and are not included in FDI calculations.","UPSC","Economy","International Trade and Finance","Hard","PYQ","2021","FDI,FCCB,GDR,foreign investment,NRE deposits"
"Consider the following statements. The effect of devaluation of a currency is that it necessarily: 1. Improves the competitiveness of domestic exports in foreign markets 2. Increases the foreign value of domestic currency 3. Improves the trade balance","1 only","1 and 2 only","3 only","2 and 3 only","A","Devaluation makes exports cheaper and more competitive abroad (Statement 1 correct). It reduces not increases the foreign value of domestic currency. It improves trade balance only for net exporters; India being a net importer may not benefit.","UPSC","Economy","International Trade and Finance","Medium","PYQ","2021","devaluation,currency,exports,trade balance,exchange rate"
"Which one of the following effects of creation of black money in India has been the main cause of worry to the Government of India?","Diversion of resources to the purchase of real estate and investment in luxury housing","Investment in unproductive activities and purchase of precious stones jewellery gold etc.","Large donations of political parties and growth of regionalism","Loss of revenue to the State Exchequer due to tax evasion","D","The primary concern about black money for the government is the loss of tax revenue to the exchequer as it represents income that evades taxation.","UPSC","Economy","Indian Economy - Tax and Revenue","Easy","PYQ","2021","black money,tax evasion,revenue loss,parallel economy"
"Which of the following is likely to be the most inflationary in its effects?","Repayment of public debt","Borrowing from the public to finance a budget deficit","Borrowing from the banks to finance a budget deficit","Creation of new money to finance a budget deficit","D","Creating new money (printing currency) to finance a budget deficit directly increases money supply without a corresponding increase in goods/services, causing the highest inflationary impact.","UPSC","Economy","Macroeconomics - Inflation","Medium","PYQ","2021","inflation,money creation,budget deficit,monetary financing,fiscal policy"
"Consider the following statements: 1. Right to the City is an agreed human right and the UN-Habitat monitors the commitments made by each country in this regard. 2. Right to the City gives every occupant of the city the right to reclaim public spaces and public participation in the city. 3. Right to the City means that the State cannot deny any public service or facility to the unauthorized colonies in the city.","1 only","3 only","1 and 2","1 and 2 and 3","D","All three statements are correct. Right to the City is a recognized human right monitored by UN-Habitat. It includes reclaiming public spaces and mandates that public services cannot be denied even to unauthorized settlements.","UPSC","Polity","Urban Governance - Rights","Hard","PYQ","2021","Right to the City,UN-Habitat,urban rights,public spaces,unauthorized colonies"
"Consider the following statements: 1. The Global Ocean Commission grants licences for seabed exploration and mining in international waters. 2. India has received licences for seabed mineral exploration in international waters. 3. Rare earth minerals are present on seafloor in international waters.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","B","It is the International Seabed Authority (not Global Ocean Commission) that grants exploration licences. India has received licences since 2014 and rare earth minerals are indeed found on ocean floors.","UPSC","Environment","Oceans and Marine Resources","Medium","PYQ","2021","seabed mining,International Seabed Authority,rare earth minerals,India ocean,deep sea"
"Consider the following statements: 1. 21st February is declared to be the International Mother Language Day by UNICEF. 2. The demand that Bangla has to be one of the national languages was raised in the Constituent Assembly of Pakistan.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","International Mother Language Day (21 February) is declared by UNESCO not UNICEF. The demand for Bangla as a national language was indeed raised in the Constituent Assembly of Pakistan.","UPSC","Current Affairs","International Days and Organisations","Easy","PYQ","2021","Mother Language Day,UNESCO,Bangla,Pakistan Constituent Assembly,February 21"
"With reference to Water Credit consider the following statements: 1. It puts microfinance tools to work in the water and sanitation sector. 2. It is a global initiative launched under the aegis of the World Health Organization and the World Bank. 3. It aims to enable the poor people to meet their water needs without depending on subsidies.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","C","WaterCredit is a Water.org initiative (not WHO or World Bank) that uses microfinance in the water and sanitation sector to help poor people access water without government subsidies.","UPSC","Environment","Water Resources - Access and Management","Medium","PYQ","2021","WaterCredit,Water.org,microfinance,water sanitation,subsidies"
"Consider the following statements in respect of the Laureus World Sports Award instituted in the year 2000: 1. American golfer Tiger Woods was the first winner of this award. 2. The award was received mostly by Formula One players so far. 3. Roger Federer received this award maximum number of times compared to others.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","C","Tiger Woods won the first Laureus Award. Tennis players (not F1 drivers) have won the most Laureus Awards. Roger Federer has received the Laureus Sportsman of the Year award a record number of times.","UPSC","Current Affairs","Sports Awards","Easy","PYQ","2021","Laureus Award,Tiger Woods,Roger Federer,Formula One,tennis"
"Consider the following statements in respect of the 32nd Summer Olympics: 1. The official motto for this Olympics is A New World. 2. Sport Climbing Surfing Skateboarding Karate and Baseball are included in this Olympics.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","The official motto for the Tokyo 2020 Olympics was United by Emotion not A New World. The five new sports listed were indeed added to the Tokyo 2020 Olympic programme.","UPSC","Current Affairs","Sports - Olympics","Easy","PYQ","2021","Tokyo Olympics 2020,32nd Olympics,United by Emotion,new sports,skateboarding"
"Consider the following statements in respect of the ICC World Test Championship: 1. The finalists were decided by the number of matches they won. 2. New Zealand was ranked ahead of England because it won more matches than England.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","D","Both statements are incorrect. The ICC used percentage of points earned from contested matches (not total wins) to determine finalists. New Zealand ranked ahead of England due to better points percentage not more wins.","UPSC","Current Affairs","Sports - Cricket","Easy","PYQ","2021","ICC World Test Championship,New Zealand,points percentage,cricket,WTC"
"The vegetation of Savannah consists of grassland with scattered small trees but extensive areas have no trees. The forest development in such areas is generally kept in check by one or more conditions. Which of the following are such conditions? 1. Burrowing animals and termites 2. Fire 3. Grazing herbivores 4. Seasonal rainfall 5. Soil properties","1 and 2","4 and 5","2 and 3 and 4","1 and 3 and 5","C","Fire grazing and seasonal rainfall limit forest development in savannas. Burrowing animals actually aid forest growth by improving soil nutrients and water infiltration.","UPSC","Geography","Physical Geography - Biomes and Vegetation","Medium","PYQ","2021","savanna,grassland,fire,grazing,seasonal rainfall,vegetation"
"With reference to the water on the planet Earth consider the following statements: 1. The amount of water in the rivers and lakes is more than the amount of groundwater. 2. The amount of water in polar ice caps and glaciers is more than the amount of groundwater.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","Groundwater contains far more water than rivers and lakes combined. Polar ice caps and glaciers hold significantly more water than groundwater making Statement 2 correct and Statement 1 incorrect.","UPSC","Geography","Physical Geography - Hydrosphere","Medium","PYQ","2021","groundwater,glaciers,rivers,lakes,water distribution,hydrosphere"
"Consider the following statements: 1. Moringa (drumstick tree) is a leguminous evergreen tree. 2. Tamarind tree is endemic to South Asia. 3. In India most of the tamarind is collected as minor forest produce. 4. India exports tamarind and seeds of moringa. 5. Seeds of moringa and tamarind can be used in the production of biofuels.","1 and 2 and 4 and 5","3 and 4 and 5","1 and 3 and 4","1 and 2 and 3 and 5","B","Moringa is not exclusively evergreen and tamarind is native to tropical Africa (not South Asia). Statements 3, 4 and 5 are correct: tamarind is a minor forest produce, India exports both, and both seeds can produce biofuel.","UPSC","Environment","Biodiversity - Plants and their Uses","Medium","PYQ","2021","Moringa,tamarind,biofuel,minor forest produce,India exports"
"The black cotton soil of India has been formed due to the weathering of","brown forest soil","fissure volcanic rock","granite and schist","shale and limestone","B","Black cotton soil (regur soil) is formed from the weathering of Deccan basalt or fissure volcanic rock. It is rich in iron and aluminium and has high water retention capacity.","UPSC","Geography","Physical Geography - Soil Types","Easy","PYQ","2021","black cotton soil,regur,basalt,volcanic rock,Deccan"
"How is permaculture farming different from conventional chemical farming? 1. Permaculture farming discourages monocultural practices but conventional chemical farming uses monoculture predominantly. 2. Conventional chemical farming can cause increase in soil salinity but permaculture farming does not. 3. Conventional chemical farming is easily possible in semi-arid regions but permaculture farming is not. 4. Practice of mulching is very important in permaculture farming but not necessarily so in conventional chemical farming.","1 and 3","1 and 2 and 4","4 only","2 and 3","B","Statements 1 and 2 and 4 are correct. Permaculture avoids monoculture, doesn't cause soil salinity and uses mulching. Statement 3 is wrong: permaculture's focus on water conservation makes it actually better suited for semi-arid regions.","UPSC","Environment","Agriculture - Sustainable Farming","Medium","PYQ","2021","permaculture,conventional farming,monoculture,soil salinity,mulching"
"With reference to palm oil consider the following statements: 1. The palm oil tree is native to Southeast Asia. 2. The palm oil is a raw material for some industries producing lipstick and perfumes. 3. The palm oil can be used to produce biodiesel.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","B","Palm oil tree is native to the hills of Guinea in West Africa (not Southeast Asia). Palm oil is used in cosmetics like lipstick and perfumes and can also be used to produce biodiesel.","UPSC","Environment","Biodiversity - Plants and their Uses","Medium","PYQ","2021","palm oil,biodiesel,cosmetics,West Africa,Southeast Asia"
"With reference to the Indus River system of the following four rivers three of them pour into one of them which joins the Indus direct. Among the following which one is such river that joins the Indus direct?","Chenab","Jhelum","Ravi","Sutlej","A","Jhelum, Ravi and Sutlej all join the Chenab River which then directly meets the Indus. So Chenab is the river that joins the Indus directly.","UPSC","Geography","Physical Geography - Rivers of India","Medium","PYQ","2021","Indus River,Chenab,Jhelum,Ravi,Sutlej,river system"
"With reference to India Didwana Kuchaman Sargol and Khatu are the names of","glaciers","mangrove areas","Ramsar sites","saline lakes","D","Didwana, Kuchaman, Sargol and Khatu are all saline lakes located in the state of Rajasthan in India.","UPSC","Geography","Physical Geography - Lakes","Easy","PYQ","2021","saline lakes,Rajasthan,Didwana,Kuchaman,Khatu"
"Consider the following rivers: 1. Brahmani 2. Nagavali 3. Subarnarekha 4. Vamsadhara. Which of the above rise from the Eastern Ghats?","1 and 2","2 and 4","3 and 4","1 and 3","B","Nagavali and Vamsadhara originate in the Eastern Ghats. Subarnarekha originates in Jharkhand and Brahmani is formed by the confluence of Sankh and South Koel rivers.","UPSC","Geography","Physical Geography - Rivers of India","Medium","PYQ","2021","Eastern Ghats,Nagavali,Vamsadhara,Brahmani,Subarnarekha,rivers"
"Among the following which one is the least water-efficient crop?","Sugarcane","Sunflower","Pearl millet","Red gram","A","Sugarcane is one of the most water-intensive crops in the world remaining in the soil year-round and requiring large amounts of water having a significant environmental impact.","UPSC","Geography","Agriculture - Crop Production","Easy","PYQ","2021","sugarcane,water intensive,crops,agriculture,water efficiency"
"Consider the following statements: 1. In the tropical zone the western sections of the oceans are warmer than the eastern sections owing to the influence of trade winds. 2. In the temperate zone westerlies make the eastern sections of oceans warmer than the western sections.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","C","Both statements are correct. Trade winds blow warm surface water westward in tropics warming western ocean sections. Westerlies bring warm water eastward in temperate zones warming eastern sections.","UPSC","Geography","Physical Geography - Ocean Currents","Medium","PYQ","2021","ocean currents,trade winds,westerlies,tropical zone,temperate zone"
"Leaf litter decomposes faster than in any other biome and as a result the soil surface is often almost bare. Apart from trees the vegetation is largely composed of plant forms that reach up into the canopy vicariously by climbing the trees or growing as epiphytes rooted on the upper branches of trees. This is the most likely description of","coniferous forest","dry deciduous forest","mangrove forest","tropical rain forest","D","The description matches tropical rainforests: rapid decomposition, bare soil surface, climbing plants and epiphytes are all characteristic features of tropical rainforests.","UPSC","Geography","Physical Geography - Biomes and Vegetation","Easy","PYQ","2021","tropical rainforest,epiphytes,decomposition,biome,vegetation"
"Consider the following statements: Statement 1: The United Nations Capital Development Fund (UNCDF) and the Arbor Day Foundation have recently recognized Hyderabad as 2020 Tree City of the World. Statement 2: Hyderabad was selected for the recognition for a year following its commitment to grow and maintain the urban forests.","Both Statement 1 and Statement 2 are correct and Statement 2 is the correct explanation for Statement 1","Both Statement 1 and Statement 2 are correct but Statement 2 is not the correct explanation for Statement 1","Statement 1 is correct but Statement 2 is not correct","Statement 1 is not correct but Statement 2 is correct","D","Statement 1 is incorrect: it was FAO (not UNCDF) and the Arbor Day Foundation that gave the recognition. Statement 2 is correct: Hyderabad was recognized for its urban forest commitment.","UPSC","Environment","Ecology - Urban Environment","Medium","PYQ","2021","Tree City of the World,Hyderabad,FAO,urban forest,Arbor Day Foundation"
"In the context of India's preparation for Climate-Smart Agriculture consider the following statements: 1. The Climate-Smart Village approach in India is a part of a project led by CCAFS an international research programme. 2. The project of CCAFS is carried out under CGIAR headquartered in France. 3. The International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) in India is one of CGIAR's research centres.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","D","All three statements are correct. Climate-Smart Villages are led by CCAFS under CGIAR (headquartered in France) and ICRISAT based in Hyderabad India is a CGIAR centre.","UPSC","Environment","Agriculture - Climate Change and Farming","Medium","PYQ","2021","Climate-Smart Agriculture,CCAFS,CGIAR,ICRISAT,climate change"
"Consider the following kinds of organisms: 1. Copepods 2. Cyanobacteria 3. Diatoms 4. Foraminifera. Which of the above are primary producers in the food chains of oceans?","1 and 2 only","2 and 3 only","3 and 4 only","1 and 4 only","B","Cyanobacteria and Diatoms are primary producers (photosynthesisers) in ocean food chains. Copepods are secondary consumers and Foraminifera are consumers not producers.","UPSC","Environment","Ecology - Marine Ecosystem","Medium","PYQ","2021","primary producers,cyanobacteria,diatoms,copepods,foraminifera,ocean food chain"
"Consider the following animals: 1. Hedgehog 2. Marmot 3. Pangolin. To reduce the chance of being captured by predators which of the above organisms rolls up and protects its vulnerable parts?","1 and 2 only","2 only","3 only","1 and 3 only","D","Hedgehogs and pangolins both roll into a ball to protect their soft vulnerable undersides from predators. Marmots use a warning whistle to alert others but do not roll up.","UPSC","Environment","Biodiversity - Animal Behaviour","Easy","PYQ","2021","hedgehog,pangolin,marmot,defensive behaviour,predator,wildlife"
"With reference to the New York Declaration on Forests which of the following statements are correct? 1. It was first endorsed at the United Nations Climate Summit in 2014. 2. It endorses a global timeline to end the loss of forests. 3. It is a legally binding international declaration. 4. It is endorsed by governments big companies and indigenous communities. 5. India was one of the signatories at its inception.","1 and 2 and 4 only","1 and 3 and 5 only","3 and 4 only","2 and 5 only","A","The New York Declaration on Forests was endorsed at the 2014 UN Climate Summit. It endorses ending forest loss and has support from diverse stakeholders. It is NOT legally binding and India did NOT sign it.","UPSC","Environment","Ecology - Forest Conservation","Medium","PYQ","2021","New York Declaration on Forests,deforestation,UNCS 2014,non-binding,India"
"Magnetite particles suspected to cause neurodegenerative problems are generated as environmental pollutants from which of the following? 1. Brakes of motor vehicles 2. Engines of motor vehicles 3. Microwave stoves within homes 4. Power plants 5. Telephone line","1 and 2 and 3 and 5 only","1 and 2 and 4 only","3 and 4 and 5 only","1 and 2 and 3 and 4 and 5","D","Magnetite particles can be generated from all five sources: vehicle brakes and engines, microwave stoves, power plants, and telephone lines. All contribute to environmental magnetite pollution.","UPSC","Environment","Pollution - Air and Environmental Pollutants","Hard","PYQ","2021","magnetite,neurodegenerative,pollution,motor vehicles,power plants"
"Which one of the following is a filter feeder?","Catfish","Octopus","Oyster","Pelican","C","Oysters are filter feeders that obtain nutrition by straining suspended matter from water. They play an important role in water clarification and are considered ecosystem engineers.","UPSC","Environment","Ecology - Marine Ecosystem","Easy","PYQ","2021","filter feeder,oyster,marine ecology,suspension feeding,ecosystem"
"In case of which one of the following biogeochemical cycles the weathering of rocks is the main source of release of nutrient to enter the cycle?","Carbon cycle","Nitrogen cycle","Phosphorus cycle","Sulphur cycle","C","In the phosphorus cycle there is no atmospheric reservoir; phosphorus primarily enters the cycle through the weathering of phosphate-containing rocks.","UPSC","Environment","Ecology - Biogeochemical Cycles","Medium","PYQ","2021","phosphorus cycle,biogeochemical cycle,rock weathering,nutrient cycle"
"Which of the following are detritivores? 1. Earthworms 2. Jellyfish 3. Millipedes 4. Seahorses 5. Woodlice","1 and 2 and 4 only","2 and 3 and 4 and 5 only","1 and 3 and 5 only","1 and 2 and 3 and 4 and 5","C","Earthworms, millipedes and woodlice are detritivores that feed on dead organic matter. Jellyfish and seahorses are predatory consumers not detritivores.","UPSC","Environment","Ecology - Food Chain and Trophic Levels","Easy","PYQ","2021","detritivores,earthworm,millipede,woodlice,decomposers"
"The Common Carbon Metric supported by UNEP had been developed for","Assessing the carbon footprint of building operations around the world","Enabling commercial farming entities around the world to enter carbon emission trading","Enabling governments to assess the overall carbon footprint caused by their countries","Assessing the overall carbon footprint caused by the use of fossil fuels by the world in a unit time","A","The Common Carbon Metric developed under UNEP is specifically designed to measure and track carbon emissions from building operations worldwide to support climate goals.","UPSC","Environment","Ecology - Climate Change","Medium","PYQ","2021","Common Carbon Metric,UNEP,carbon footprint,buildings,climate change"
"Which of the following have species that can establish symbiotic relationship with other organisms? 1. Cnidarians 2. Fungi 3. Protozoa","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","D","All three groups can form symbiotic relationships. Cnidarians (like corals) host algae; fungi form mycorrhizae and lichens; protozoa can live symbiotically in animal guts.","UPSC","Environment","Ecology - Symbiosis and Interactions","Medium","PYQ","2021","symbiosis,cnidarians,fungi,protozoa,ecology"
"R2 Code of Practices constitutes a tool available for promoting the adoption of","Environmentally responsible practices in electronics recycling industry","Ecological management of Wetlands of International Importance under the Ramsar Convention","Sustainable practices in the cultivation of agricultural crops in degraded lands","Environmental Impact Assessment in the exploitation of natural resources","A","The R2 (Responsible Recycling) Code of Practices promotes environmentally responsible and safe recycling practices specifically in the electronics/e-waste recycling industry.","UPSC","Environment","Pollution - E-waste and Recycling","Easy","PYQ","2021","R2 Code,electronics recycling,e-waste,responsible recycling,environment"
"Why is there a concern about copper smelting plants? 1. They may release lethal quantities of carbon monoxide into environment. 2. The copper slag can cause the leaching of some heavy metals into environment. 3. They may release sulphur dioxide as a pollutant.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","D","All three are valid concerns: copper smelting can release CO and SO2 as gaseous pollutants and the slag can leach heavy metals into soil and water systems.","UPSC","Environment","Pollution - Industrial Pollution","Medium","PYQ","2021","copper smelting,sulphur dioxide,carbon monoxide,heavy metals,industrial pollution"
"With reference to furnace oil consider the following statements: 1. It is a product of oil refineries. 2. Some industries use it to generate power. 3. Its use causes sulphur emissions into environment.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","D","All three statements are correct. Furnace oil is a refinery product used as industrial fuel to generate power and its high sulphur content causes significant sulphur dioxide emissions.","UPSC","Environment","Pollution - Air and Environmental Pollutants","Easy","PYQ","2021","furnace oil,refinery,sulphur emissions,industrial fuel,pollution"
"What is blue carbon?","Carbon captured by oceans and coastal ecosystems","Carbon sequestered in forest biomass and agricultural soils","Carbon contained in petroleum and natural gas","Carbon present in atmosphere","A","Blue carbon refers to carbon captured and stored by coastal and ocean ecosystems like mangroves, seagrasses and salt marshes. Despite covering small areas they store massive amounts of carbon.","UPSC","Environment","Ecology - Climate Change","Easy","PYQ","2021","blue carbon,coastal ecosystems,ocean,carbon sequestration,climate"
"In the nature which of the following is/are most likely to be found surviving on a surface without soil? 1. Fern 2. Lichen 3. Moss 4. Mushroom","1 and 4 only","2 only","2 and 3 only","1 and 3 and 4 only","C","Lichens and mosses can grow on bare rocks and surfaces without soil. Ferns and mushrooms both require soil to grow and cannot survive on soil-free surfaces.","UPSC","Environment","Ecology - Terrestrial Ecosystems","Easy","PYQ","2021","lichen,moss,fern,mushroom,soil-free,pioneer species"
