question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
Bark : Dog :: Meow : ?,Cow,Tiger,Horse,Cat,3,Bark is the sound of a dog and meow is the sound of a cat.,APPSC,Reasoning,Analogy,Easy,Mock,,reasoning|analogy
"Which one is the odd one out? Apple, Banana, Mango, Carrot",Carrot,Apple,Banana,Mango,0,Carrot is a vegetable while the others are fruits.,SSC,Reasoning,Odd One Out,Easy,Mock,,reasoning|odd-one-out
"Which one is the odd one out? Table, Chair, Sofa, Banana",Table,Banana,Chair,Sofa,1,Banana is not a piece of furniture.,RRB,Reasoning,Odd One Out,Easy,Mock,,reasoning|odd-one-out
"Which one is the odd one out? Triangle, Square, Circle, Book",Triangle,Square,Book,Circle,2,Book is not a geometric figure.,IBPS,Reasoning,Odd One Out,Easy,Mock,,reasoning|odd-one-out
"Which one is the odd one out? Copper, Iron, Silver, Plastic",Copper,Iron,Silver,Plastic,3,Plastic is not a metal.,TSPSC,Reasoning,Odd One Out,Easy,Mock,,reasoning|odd-one-out
"Which one is the odd one out? Mercury, Venus, Earth, Sun",Sun,Mercury,Venus,Earth,0,The Sun is a star while the others are planets.,APPSC,Reasoning,Odd One Out,Easy,Mock,,reasoning|odd-one-out
"If CAT is coded as DBU, how will DOG be coded in the same pattern?",DNF,EPH,FOH,EOG,1,Each letter is shifted forward by 1.,SSC,Reasoning,Coding-Decoding,Medium,Mock,,reasoning|coding-decoding
"If BOOK is coded as CPPL, how will MATH be coded in the same pattern?",NATI,MBTH,NBUI,OCVJ,2,Each letter is shifted forward by 1.,RRB,Reasoning,Coding-Decoding,Medium,Mock,,reasoning|coding-decoding
"If RING is coded as ULTJ, how will CODE be coded in the same pattern?",EQFG,CPDF,GSIJ,FRGH,3,Each letter is shifted forward by 3 positions.,IBPS,Reasoning,Coding-Decoding,Medium,Mock,,reasoning|coding-decoding
"If FISH is coded as EHRG, how will GOAT be coded in the same pattern?",FNZS,HPBU,ENYR,GMAT,0,Each letter is shifted backward by 1.,TSPSC,Reasoning,Coding-Decoding,Medium,Mock,,reasoning|coding-decoding
"If PARK is coded as RCTM, how will GAME be coded in the same pattern?",HBNF,ICOG,KCOH,IBPF,1,Each letter is shifted forward by 2.,APPSC,Reasoning,Coding-Decoding,Medium,Mock,,reasoning|coding-decoding
A is the mother of B. C is the sister of B. D is the father of A. How is D related to C?,Uncle,Brother,Grandfather,Father,2,"D is the father of A, so D is C’s grandfather.",SSC,Reasoning,Blood Relations,Medium,Mock,,reasoning|blood-relations
P is the brother of Q. Q is the mother of R. How is P related to R?,Brother,Father,Grandfather,Uncle,3,"P is the brother of R’s mother, so P is R’s uncle.",RRB,Reasoning,Blood Relations,Medium,Mock,,reasoning|blood-relations
"A man points to a woman and says, ""Her mother is the only daughter of my mother."" Who is the woman to the man?",Niece,Daughter,Mother,Aunt,0,"The only daughter of the man’s mother is his sister, so the woman is his niece.",IBPS,Reasoning,Blood Relations,Medium,Mock,,reasoning|blood-relations
Ravi walks 5 km north and then 3 km east. In which direction is he from the starting point?,North-West,North-East,South-East,South-West,1,Moving north and then east places Ravi in the north-east direction.,TSPSC,Reasoning,Direction Sense,Easy,Mock,,reasoning|direction-sense
A person is facing north. He turns right and then right again. Which direction is he facing now?,East,West,South,North,2,"Facing north, one right turn gives east and the next gives south.",APPSC,Reasoning,Direction Sense,Easy,Mock,,reasoning|direction-sense
What is 25% of 320?,85,75,90,80,3,25% of 320 = (25/100) x 320 = 80.,SSC,Quantitative Aptitude,Percentages,Easy,Mock,,percentages|arithmetic
What is 15% of 240?,36,41,31,46,0,15% of 240 = (15/100) x 240 = 36.,RRB,Quantitative Aptitude,Percentages,Easy,Mock,,percentages|arithmetic
What is 12.5% of 160?,25,20,15,30,1,12.5% of 160 = (12.5/100) x 160 = 20.,IBPS,Quantitative Aptitude,Percentages,Easy,Mock,,percentages|arithmetic
What is 40% of 450?,185,175,180,190,2,40% of 450 = (40/100) x 450 = 180.,TSPSC,Quantitative Aptitude,Percentages,Easy,Mock,,percentages|arithmetic
What is 18% of 500?,95,85,100,90,3,18% of 500 = (18/100) x 500 = 90.,APPSC,Quantitative Aptitude,Percentages,Easy,Mock,,percentages|arithmetic
What is 75% of 120?,90,95,85,100,0,75% of 120 = (75/100) x 120 = 90.,SSC,Quantitative Aptitude,Percentages,Easy,Mock,,percentages|arithmetic
What is 30% of 90?,32,27,22,37,1,30% of 90 = (30/100) x 90 = 27.,RRB,Quantitative Aptitude,Percentages,Easy,Mock,,percentages|arithmetic
What is 8% of 250?,25,15,20,30,2,8% of 250 = (8/100) x 250 = 20.,IBPS,Quantitative Aptitude,Percentages,Easy,Mock,,percentages|arithmetic
Simplify the ratio 24:36.,3:2,4:5,5:6,2:3,3,Use the ratio relationship and simplify or scale both terms appropriately.,SSC,Quantitative Aptitude,Ratio and Proportion,Easy,Mock,,ratio|proportion
Simplify the ratio 45:60.,3:4,4:3,5:6,2:5,0,Use the ratio relationship and simplify or scale both terms appropriately.,RRB,Quantitative Aptitude,Ratio and Proportion,Easy,Mock,,ratio|proportion
Simplify the ratio 56:98.,7:4,4:7,8:7,5:7,1,Use the ratio relationship and simplify or scale both terms appropriately.,IBPS,Quantitative Aptitude,Ratio and Proportion,Easy,Mock,,ratio|proportion
"If A:B = 3:5 and A = 24, then B = ?",36,45,40,30,2,Use the ratio relationship and simplify or scale both terms appropriately.,TSPSC,Quantitative Aptitude,Ratio and Proportion,Easy,Mock,,ratio|proportion
"If A:B = 5:8 and A = 25, then B = ?",45,35,50,40,3,Use the ratio relationship and simplify or scale both terms appropriately.,APPSC,Quantitative Aptitude,Ratio and Proportion,Easy,Mock,,ratio|proportion
"Find the average of: 12, 15, 18, 21, 24",18,20,16,23,0,Average = sum / count = 90 / 5 = 18.,SSC,Quantitative Aptitude,Averages,Easy,Mock,,average|arithmetic
"Find the average of: 30, 35, 40, 45",39.5,37.5,35.5,42.5,1,Average = sum / count = 150 / 4 = 37.5.,RRB,Quantitative Aptitude,Averages,Easy,Mock,,average|arithmetic
"Find the average of: 8, 10, 12, 14, 16",14,10,12,17,2,Average = sum / count = 60 / 5 = 12.,IBPS,Quantitative Aptitude,Averages,Easy,Mock,,average|arithmetic
"Find the average of: 50, 60, 70",62,58,65,60,3,Average = sum / count = 180 / 3 = 60.,TSPSC,Quantitative Aptitude,Averages,Easy,Mock,,average|arithmetic
"Find the average of: 22, 24, 26, 28",25,27,23,30,0,Average = sum / count = 100 / 4 = 25.,APPSC,Quantitative Aptitude,Averages,Easy,Mock,,average|arithmetic
An article is bought for Rs. 100 and sold for Rs. 120. What is the result?,5% profit,20% profit,15% loss,30% profit,1,Profit or loss percentage = (difference / cost price) x 100.,SSC,Quantitative Aptitude,Profit and Loss,Medium,Mock,,profit-loss|percentage
An article is bought for Rs. 250 and sold for Rs. 225. What is the result?,5% profit,15% loss,10% loss,30% profit,2,Profit or loss percentage = (difference / cost price) x 100.,RRB,Quantitative Aptitude,Profit and Loss,Medium,Mock,,profit-loss|percentage
An article is bought for Rs. 480 and sold for Rs. 600. What is the result?,5% profit,15% loss,30% profit,25% profit,3,Profit or loss percentage = (difference / cost price) x 100.,IBPS,Quantitative Aptitude,Profit and Loss,Medium,Mock,,profit-loss|percentage
An article is bought for Rs. 350 and sold for Rs. 280. What is the result?,20% loss,5% profit,15% loss,30% profit,0,Profit or loss percentage = (difference / cost price) x 100.,TSPSC,Quantitative Aptitude,Profit and Loss,Medium,Mock,,profit-loss|percentage
An article is bought for Rs. 90 and sold for Rs. 99. What is the result?,5% profit,10% profit,15% loss,30% profit,1,Profit or loss percentage = (difference / cost price) x 100.,APPSC,Quantitative Aptitude,Profit and Loss,Medium,Mock,,profit-loss|percentage
Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,150,60,100,120,2,Simple Interest = (P x R x T) / 100 = 100.,SSC,Quantitative Aptitude,Simple Interest,Medium,Mock,,simple-interest|arithmetic
Find the simple interest on Rs. 1500 at 8% per annum for 3 years.,410,320,380,360,3,Simple Interest = (P x R x T) / 100 = 360.,RRB,Quantitative Aptitude,Simple Interest,Medium,Mock,,simple-interest|arithmetic
Find the simple interest on Rs. 2500 at 6% per annum for 4 years.,600,650,560,620,0,Simple Interest = (P x R x T) / 100 = 600.,IBPS,Quantitative Aptitude,Simple Interest,Medium,Mock,,simple-interest|arithmetic
Find the simple interest on Rs. 3200 at 10% per annum for 1 years.,370,320,280,340,1,Simple Interest = (P x R x T) / 100 = 320.,TSPSC,Quantitative Aptitude,Simple Interest,Medium,Mock,,simple-interest|arithmetic
A can complete a work in 6 days and B can complete it in 12 days. In how many days can they finish it together?,6,3,4,8,2,Combined time = ab / (a + b) = 4 days.,SSC,Quantitative Aptitude,Time and Work,Medium,Mock,,time-and-work|work-rate
A can complete a work in 8 days and B can complete it in 8 days. In how many days can they finish it together?,6,3,8,4,3,Combined time = ab / (a + b) = 4 days.,RRB,Quantitative Aptitude,Time and Work,Medium,Mock,,time-and-work|work-rate
A can complete a work in 9 days and B can complete it in 18 days. In how many days can they finish it together?,6,8,5,10,0,Combined time = ab / (a + b) = 6 days.,IBPS,Quantitative Aptitude,Time and Work,Medium,Mock,,time-and-work|work-rate
How much time will it take to cover 120 km at 60 km/h?,7,2,-3,12,1,"Use the standard formula among speed, time and distance.",SSC,Quantitative Aptitude,"Time, Speed and Distance",Easy,Mock,,time-speed-distance|arithmetic
Convert 72 km/h into m/s.,25,15,20,30,2,"Use the standard formula among speed, time and distance.",RRB,Quantitative Aptitude,"Time, Speed and Distance",Easy,Mock,,time-speed-distance|arithmetic
Find the speed if a distance of 180 km is covered in 2 hours.,95,85,100,90,3,"Use the standard formula among speed, time and distance.",IBPS,Quantitative Aptitude,"Time, Speed and Distance",Easy,Mock,,time-speed-distance|arithmetic
Find the HCF of 12 and 18.,6,4,8,12,0,Use factors or prime factorisation to find the HCF or LCM.,SSC,Quantitative Aptitude,HCF and LCM,Easy,Mock,,hcf-lcm|number-system
Find the LCM of 6 and 8.,12,24,18,30,1,Use factors or prime factorisation to find the HCF or LCM.,RRB,Quantitative Aptitude,HCF and LCM,Easy,Mock,,hcf-lcm|number-system
What is the angle between the hour hand and minute hand at 3:00?,120,150,90,60,2,"At exact hours, the minute hand is at 12 and the hour hand is on the hour mark.",SSC,Mental Ability,Clock,Easy,Mock,,clock|angles
What is the angle between the hour hand and minute hand at 6:00?,210,240,150,180,3,"At exact hours, the minute hand is at 12 and the hour hand is on the hour mark.",RRB,Mental Ability,Clock,Easy,Mock,,clock|angles
What is the angle between the hour hand and minute hand at 9:00?,90,120,150,60,0,"At exact hours, the minute hand is at 12 and the hour hand is on the hour mark.",IBPS,Mental Ability,Clock,Easy,Mock,,clock|angles
What is the angle between the hour hand and minute hand at 1:00?,60,30,90,15,1,"At exact hours, the minute hand is at 12 and the hour hand is on the hour mark.",TSPSC,Mental Ability,Clock,Easy,Mock,,clock|angles
What is the angle between the hour hand and minute hand at 2:00?,90,120,60,30,2,"At exact hours, the minute hand is at 12 and the hour hand is on the hour mark.",APPSC,Mental Ability,Clock,Easy,Mock,,clock|angles
"If today is Monday, what day of the week will it be 10 days after today?",Tuesday,Wednesday,Saturday,Thursday,3,"Days repeat every 7 days, so reduce the number of days modulo 7.",SSC,Mental Ability,Calendar,Medium,Mock,,calendar|day-of-week
"If today is Friday, what day of the week will it be 17 days after today?",Monday,Tuesday,Wednesday,Saturday,0,"Days repeat every 7 days, so reduce the number of days modulo 7.",RRB,Mental Ability,Calendar,Medium,Mock,,calendar|day-of-week
"If today is Sunday, what day of the week will it be 14 days after today?",Tuesday,Sunday,Wednesday,Saturday,1,"Days repeat every 7 days, so reduce the number of days modulo 7.",IBPS,Mental Ability,Calendar,Medium,Mock,,calendar|day-of-week
What is the alphabetical position of M?,12,14,13,15,2,Use the standard order of the English alphabet.,SSC,Mental Ability,Alphabet Test,Easy,Mock,,alphabet-test|mental-ability
Which letter is 3rd to the right of H in the English alphabet?,J,L,M,K,3,Use the standard order of the English alphabet.,RRB,Mental Ability,Alphabet Test,Easy,Mock,,alphabet-test|mental-ability
